Major Group,Sub-Major Group,Minor Group,Unit   Group,Group Title
8.0,82.0,822.0,8222.0,Fork-lift truck drivers
8.0,82.0,822.0,8223.0,Agricultural machinery drivers
8.0,82.0,822.0,8229.0,Mobile machine drivers and operatives n.e.c.
8.0,82.0,823.0,,Other Drivers and Transport Operatives
8.0,82.0,823.0,8231.0,Train and tram drivers
8.0,82.0,823.0,8232.0,Marine and waterways transport operatives
8.0,82.0,823.0,8233.0,Air transport operatives
8.0,82.0,823.0,8234.0,Rail transport operatives
8.0,82.0,823.0,8239.0,Other drivers and transport operatives n.e.c.
9.0,,,,ELEMENTARY OCCUPATIONS
9.0,91.0,,,ELEMENTARY TRADES AND RELATED OCCUPATIONS
9.0,91.0,911.0,,Elementary Agricultural Occupations
9.0,91.0,911.0,9111.0,Farm workers
9.0,91.0,911.0,9112.0,Forestry workers
9.0,91.0,911.0,9119.0,Fishing and other elementary agriculture occupations n.e.c.
9.0,91.0,912.0,,Elementary Construction Occupations
9.0,91.0,912.0,9120.0,Elementary construction occupations
9.0,91.0,913.0,,Elementary Process Plant Occupations
9.0,91.0,913.0,9132.0,Industrial cleaning process occupations
9.0,91.0,913.0,9134.0,"Packers, bottlers, canners and fillers"
9.0,91.0,913.0,9139.0,Elementary process plant occupations n.e.c.
9.0,92.0,913.0,,ELEMENTARY ADMINISTRATION AND SERVICE OCCUPATIONS
9.0,92.0,921.0,,Elementary Administration Occupations
9.0,92.0,921.0,9211.0,"Postal workers, mail sorters, messengers and couriers"
9.0,92.0,921.0,9219.0,Elementary administration occupations n.e.c.
9.0,92.0,923.0,,Elementary Cleaning Occupations
9.0,92.0,923.0,9231.0,Window cleaners
9.0,92.0,923.0,9232.0,Street cleaners
9.0,92.0,923.0,9233.0,Cleaners and domestics
9.0,92.0,923.0,9234.0,"Launderers, dry cleaners and pressers"
9.0,92.0,923.0,9235.0,Refuse and salvage occupations
9.0,92.0,923.0,9236.0,Vehicle valeters and cleaners
9.0,92.0,923.0,9239.0,Elementary cleaning occupations n.e.c.
9.0,92.0,924.0,,Elementary Security Occupations
9.0,92.0,924.0,9241.0,Security guards and related occupations
